body>=,tp,sl,train,test
0.75,0.5%,1.0%,108笔 胜率67% 均值+2.5bps t=0.4,117笔 胜率55% 均值-16.5bps t=-2.6
0.75,0.5%,无,108笔 胜率72% 均值+9.5bps t=1.4,117笔 胜率64% 均值-15.8bps t=-1.4
0.75,1.0%,0.5%,108笔 胜率37% 均值-5.7bps t=-0.9,117笔 胜率36% 均值-7.1bps t=-1.2
0.75,1.0%,1.0%,108笔 胜率56% 均值+5.8bps t=0.7,117笔 胜率42% 均值-19.4bps t=-2.4
0.75,0.3%,0.5%,108笔 胜率62% 均值-4.3bps t=-1.2,117笔 胜率56% 均值-8.2bps t=-2.3
0.75,0.3%,1.0%,108笔 胜率78% 均值+1.0bps t=0.2,117笔 胜率67% 均值-11.4bps t=-2.2
0.75,0.3%,无,108笔 胜率84% 均值+7.7bps t=1.5,117笔 胜率76% 均值-4.1bps t=-0.6
0.75,0.5%,0.5%,108笔 胜率52% 均值-3.2bps t=-0.7,117笔 胜率45% 均值-9.1bps t=-2.0
0.75,1.0%,无,108笔 胜率62% 均值+11.1bps t=1.1,117笔 胜率48% 均值-23.8bps t=-1.9
0.75,无,0.5%,108笔 胜率24% 均值-24.2bps t=-4.2,117笔 胜率27% 均值-9.3bps t=-1.0
0.75,无,1.0%,108笔 胜率44% 均值-18.6bps t=-2.2,117笔 胜率36% 均值-9.2bps t=-0.6
0.75,无,无,108笔 胜率51% 均值-9.9bps t=-0.8,117笔 胜率42% 均值-8.8bps t=-0.5
0.6,0.5%,0.5%,1400笔 胜率51% 均值-3.0bps t=-2.3,1106笔 胜率48% 均值-5.4bps t=-3.7
0.6,0.3%,无,1400笔 胜率85% 均值+5.8bps t=3.2,1106笔 胜率79% 均值-5.9bps t=-2.4
0.6,0.3%,1.0%,1400笔 胜率75% 均值-2.4bps t=-1.7,1106笔 胜率72% 均值-6.6bps t=-4.0
0.6,0.3%,0.5%,1400笔 胜率61% 均值-4.4bps t=-4.3,1106笔 胜率59% 均值-6.2bps t=-5.3
0.6,1.0%,1.0%,1400笔 胜率52% 均值-0.3bps t=-0.1,1106笔 胜率45% 均值-11.8bps t=-4.5
0.6,1.0%,0.5%,1400笔 胜率37% 均值-1.6bps t=-0.9,1106笔 胜率33% 均值-8.0bps t=-4.1
0.6,0.5%,无,1400笔 胜率75% 均值+4.7bps t=1.7,1106笔 胜率68% 均值-9.1bps t=-2.9
0.6,0.5%,1.0%,1400笔 胜率65% 均值-1.6bps t=-0.9,1106笔 胜率61% 均值-7.9bps t=-3.9
0.6,1.0%,无,1400笔 胜率62% 均值+8.1bps t=2.3,1106笔 胜率53% 均值-12.8bps t=-3.4
0.6,无,0.5%,1400笔 胜率27% 均值-3.1bps t=-1.0,1106笔 胜率24% 均值-9.8bps t=-3.2
0.6,无,1.0%,1400笔 胜率40% 均值-2.4bps t=-0.6,1106笔 胜率35% 均值-10.7bps t=-2.6
0.6,无,无,1400笔 胜率51% 均值+8.3bps t=1.6,1106笔 胜率43% 均值-9.9bps t=-1.9
