dir,N,tp,sl,trades@train,win%@train,avg_bps@train,t_stat@train,trades@test,win%@test,avg_bps@test,t_stat@test
连绿后卖(反转),4,无,无,55556,50.3,0.5,0.59,33547,51.4,2.9,3.25
连绿后卖(反转),3,无,无,98010,49.9,-0.3,-0.51,60469,51.0,2.1,3.29
连绿后卖(反转),4,0.3%,无,55556,82.2,-0.4,-1.23,33547,81.1,-1.0,-2.26
连绿后卖(反转),4,无,0.5%,55556,30.2,-0.5,-1.13,33547,31.7,0.1,0.1
连红后买(反转),3,无,无,96666,50.1,-0.6,-1.06,62661,48.6,-2.8,-4.1
连绿后卖(反转),4,0.5%,无,55556,72.2,-0.6,-1.3,33547,71.4,-0.3,-0.62
连绿后卖(反转),3,无,0.5%,98010,30.5,-0.8,-2.48,60469,31.1,-1.6,-4.2
连红后买(反转),4,无,无,53712,51.0,-0.8,-1.0,35554,48.4,-4.2,-4.28
连绿后卖(反转),3,0.5%,无,98010,71.5,-1.0,-2.94,60469,71.3,-0.1,-0.32
连绿后卖(反转),3,0.3%,无,98010,81.5,-1.1,-4.2,60469,80.9,-0.9,-2.97
连绿后卖(反转),4,0.2%,无,55556,88.0,-1.2,-4.17,33547,87.1,-1.5,-4.27
连红后买(反转),4,0.5%,无,53712,72.8,-1.3,-2.81,35554,70.2,-5.0,-8.65
连红后买(反转),3,0.3%,无,96666,81.6,-1.4,-5.39,62661,79.9,-3.4,-10.81
连红后买(反转),3,0.5%,无,96666,71.8,-1.5,-4.64,62661,69.7,-4.1,-10.06
连绿后卖(反转),3,0.2%,无,98010,87.6,-1.6,-7.35,60469,86.8,-1.6,-6.41
连红后买(反转),4,0.3%,无,53712,82.2,-1.6,-4.37,35554,80.6,-4.3,-8.69
连红后买(反转),3,0.2%,无,96666,87.5,-1.8,-8.21,62661,86.1,-3.5,-13.56
连红后买(反转),4,0.2%,无,53712,88.0,-1.8,-5.91,35554,86.8,-4.1,-10.03
连绿后卖(反转),4,0.5%,0.5%,55556,50.3,-3.2,-15.65,33547,49.9,-3.6,-13.46
连绿后卖(反转),3,0.5%,0.5%,98010,50.1,-3.4,-21.96,60469,50.4,-3.2,-16.25
连红后买(反转),4,无,0.5%,53712,28.7,-3.6,-8.12,35554,27.6,-6.1,-11.29
连红后买(反转),3,无,0.5%,96666,28.7,-3.7,-10.84,62661,29.1,-4.0,-10.3
连绿后卖(反转),3,0.3%,0.5%,98010,60.3,-5.1,-41.53,60469,60.8,-4.7,-30.02
连红后买(反转),4,0.5%,0.5%,53712,48.6,-5.1,-24.36,35554,47.5,-6.1,-23.73
连绿后卖(反转),4,0.3%,0.5%,55556,60.2,-5.2,-31.67,33547,60.2,-5.1,-24.48
连红后买(反转),3,0.5%,0.5%,96666,48.4,-5.3,-33.75,62661,48.3,-5.4,-27.55
连红后买(反转),3,0.3%,0.5%,96666,58.4,-6.7,-53.56,62661,58.7,-6.4,-41.59
连绿后卖(反转),3,0.2%,0.5%,98010,66.8,-6.8,-65.17,60469,67.2,-6.4,-48.76
连红后买(反转),4,0.3%,0.5%,53712,58.2,-6.9,-40.93,35554,57.9,-7.2,-34.58
连绿后卖(反转),4,0.2%,0.5%,55556,66.4,-7.1,-51.51,33547,66.7,-6.8,-38.21
连红后买(反转),3,0.2%,0.5%,96666,64.5,-8.5,-79.32,62661,65.2,-7.9,-60.16
连红后买(反转),4,0.2%,0.5%,53712,64.0,-8.8,-61.53,35554,64.5,-8.5,-48.24
