base,onboard,cohort,days,r1,e1,r3,e3,r5,e5,r10,e10,r20,e20,r30,e30
FET,2023-01-15,2023,1319,-0.10927982801863145,-0.08794140892621227,0.01433178072375485,-0.06126995268615487,-0.048369759942672896,-0.044976715464380757,0.007524184879971196,0.004650509227090316,0.5510569688283768,0.5585365145604565,0.48011465424579014,0.5132389401831745
MAGIC,2023-01-23,2023,1311,0.010662038184974021,0.01320750534541204,0.2374576411273659,0.23971618109615378,0.057773369699975374,0.09654288819805656,0.6116207951070336,0.6159794421761531,0.37408050252086955,0.35472939851557683,0.34688817257624605,0.37836488682852787
T,2023-01-31,2023,1304,-0.06641776380428377,-0.05643462010432587,-0.06229121634898804,-0.05793256927986856,-0.11731184908626446,-0.10983230335418481,-0.21123992925918644,-0.22200380851131207,-0.17999606995480433,-0.1636378552336183,-0.16329337787384557,-0.1157896370022119
MINA,2023-02-03,2023,1298,-0.04321130676552365,-0.031237526847214037,0.03278498609823921,0.040805763030705156,0.16265060240963858,0.16632086459083606,0.24084800741427248,0.1960093992005909,0.08769694161260433,0.090470318889598,-0.227062094531974,-0.16497059126400004
ASTR,2023-02-13,2023,1291,0.22174516984467751,0.1250596636564807,0.32920823336279836,0.2843696251491168,0.29662836216694033,0.3116870749108326,0.013511807046344249,0.04498852129862607,-0.13953782043187257,-0.13854314617653996,-0.18171486298775097,-0.2106344940812952
GMX,2023-02-16,2023,1288,-0.01982486013135487,-0.022078587527974314,-0.04329846752614941,-0.06736516194094544,-0.09170518122111404,-0.08057334195161792,-0.09073218195086341,-0.08795880467386974,-0.21539771345171488,-0.1533062101837409,-0.013135490148382334,-0.05211047806974112
CFX,2023-02-19,2023,1285,0.009193993257738287,0.025552207978924324,-0.07018081520073549,-0.06014825592589301,-0.29083665338645415,-0.28956807781559524,-0.30401471038921235,-0.2971264217500198,-0.4379405455102666,-0.5132023160129736,0.1486362243334356,0.1791547871522643
STX,2023-02-20,2023,1284,0.13388734995383178,0.1450191892233279,0.12588488765774075,0.15736160191002257,0.2019082794706064,0.18466570833581986,0.30378578024007363,0.3512895211117073,0.22699292089873802,0.12996387540656573,0.8027085257002153,0.7641424790963629
ACH,2023-02-21,2023,1283,0.006164685160721994,0.016197244435564473,-0.13980625275209158,-0.13853767718123267,-0.13914575077058566,-0.136372373493592,-0.32738881549977983,-0.32707103975099283,-0.19726992514310882,-0.2206120342249721,-0.29282254513430206,-0.2629400316373197
SSV,2023-02-23,2023,1281,0.05454545454545445,0.05581403011631336,0.2911725955204214,0.2939459727974151,0.12753623188405783,0.10634260985860133,0.02239789196310915,0.023392566218441768,0.025559947299077734,-0.003359683794466495,-0.005006587615283387,-0.023478349865122095
CKB,2023-02-27,2023,1277,0.00470366886171214,-0.016489953163744353,-0.12398871119473187,-0.0764849703230982,-0.15898400752587027,-0.1627313716111688,-0.3063029162746943,-0.29608093212859854,-0.005268109125117659,0.0037318443727379913,-0.07619943555973663,-0.06478387016283838
LQTY,2023-03-08,2023,1267,-0.002690455961483984,-0.017933525826381747,0.2763617483243652,0.17933270283219294,0.29816860190691985,0.31415158580239233,0.04455772680071757,0.05355768029857322,0.0051449070140661135,0.016560472410964366,0.041064854148966434,0.02729578066974181
USDC,2023-03-12,2023,1265,0.010858303707465655,-0.08617074178470663,0.011833417978669214,0.027816401874141694,0.012950736414423458,-0.08283004340502709,0.012320975114271215,0.042839537933099914,0.01452513966480451,0.014915230650891287,0.01428136109700362,-0.004690319787171271
ID,2023-03-23,2023,1254,-0.0009458948164963177,0.028936618680486026,-0.07775255391600444,-0.09622431616584315,-0.1220204313280362,-0.12709936316633663,-0.11785849413545213,-0.10792311278696853,-0.1424517593643586,-0.13217847883853628,0.4214907302307984,0.40113663427629875
ARB,2023-03-23,2023,1254,-0.03809811777156247,-0.008215604274580124,-0.031219290951696954,-0.04969105320153566,-0.07763247410991003,-0.08271140594821047,-0.09259959180588107,-0.08266421045739747,-0.09826895456950635,-0.08799567404368402,0.10688638597021693,0.08653229001571727
JOE,2023-03-28,2023,1248,0.04579358196010408,0.05720914735700233,0.06400693842150895,0.06439702940759573,0.02185602775368589,0.03517577265092042,-0.01647875108412844,-0.01770496627413798,0.18508239375542068,0.15293419525100194,-0.12836079791847366,-0.12296346603348096
TLM,2023-03-29,2023,1247,0.0005037783375314575,-0.0151985240005017,0.0005037783375314575,0.010439159686015054,0.07052896725440827,0.057245347027028215,0.06045340050377823,0.04668432702455361,0.03677581863979862,0.08850177349690758,-0.014105793450881587,-0.011126271266581278
XVS,2023-04-12,2023,1233,0.14220445459737308,0.13922711727229986,0.14306110793832105,0.14285635502884841,0.06910336950314111,0.036955170998722364,-0.09137635636778985,-0.08306196297327328,-0.12278697886921752,-0.135415876327037,-0.30154197601370636,-0.3007056901682177
BLUR,2023-04-27,2023,1218,0.023080272898824195,0.026059795083124504,-0.09174045579909995,-0.05175140607798989,-0.11278850341123525,-0.12541740086905473,-0.3369139207432138,-0.31018569988000055,-0.3226883437363913,-0.3012799526691474,-0.2319640005806357,-0.2771960284776315
EDU,2023-04-28,2023,1216,-0.08179477749172492,-0.041805727770614864,-0.1350496506068407,-0.1476785480646602,-0.12806178742184626,-0.15114858406376686,-0.09525560867966165,-0.09426684365803928,-0.15917616770871634,-0.16734137736554688,-0.15733725634424423,-0.15582582138284162
SUI,2023-05-03,2023,1213,-0.04572207866781519,-0.03909180270497781,-0.046009187482055736,-0.023843478718513667,-0.18468274476026425,-0.157954523897051,-0.21124031007751942,-0.21040402423203075,-0.24454493252942866,-0.2583190474764112,-0.32450473729543494,-0.34026654559454006
1000PEPE,2023-05-05,2023,1211,-0.2959071242374567,-0.2737414154739146,-0.4769288651205289,-0.45020064425731565,-0.48415791029534283,-0.48316914527372046,-0.5345999838757357,-0.5439153110459355,-0.6160006449705733,-0.6216250701771189,-0.66719518421972,-0.6689508735772857
1000FLOKI,2023-05-06,2023,1210,-0.019254813703425855,-0.004746078640418316,-0.1040260065016253,-0.10223279035400312,-0.11252813203300815,-0.08981478427044509,-0.1525381345336333,-0.14783506851761263,-0.22130532633158284,-0.22992529927371075,-0.30432608152038,-0.25312397395795005
UMA,2023-05-09,2023,1206,-0.06934164394234532,-0.04662829617978226,-0.09933774834437104,-0.09850146249888236,-0.09232567199065056,-0.10164099916085034,-0.1620568757304247,-0.17022208538725525,-0.22633424230619403,-0.22482280734479143,-0.3272302298402805,-0.3265581741427206
NMR,2023-06-22,2023,1163,0.011843079200592133,-0.014881606991876462,0.0022205773501109416,0.004389348358032508,-0.004441154700222105,-0.0184232631532677,-0.0037009622501850137,-0.004979843376385573,-0.04811250925240562,-0.04028785980976901,-0.051813471502590636,-0.04820373759919361
MAV,2023-06-29,2023,1156,-0.024337866857551904,-0.025004754725120537,-0.02028155571462642,-0.02156043684082698,0.21355285134812707,0.2261664183968285,-0.02219040801717964,-0.018176440069457067,-0.2221426867096158,-0.22381462495176885,-0.26819374850870914,-0.2695316370339258
